id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm
11532,20 Min to centre (5km) / airport 30 min,103100241,Ed,Dublin City Council,Ballyfermot-Drimnagh LEA-5,53.33043,-6.33342,Private room,84,1,197,2024-07-28,3.32,5,103,45
36950,Charming Pheonix Parkside Flat,68903153,Michael,Dublin City Council,Ballyfermot-Drimnagh LEA-5,53.34232039,-6.33897411,Entire home/apt,120,14,10,2024-08-09,1.13,4,345,10
40176,Spacious Double Room,333688323,Kari Helene,Dublin City Council,Ballyfermot-Drimnagh LEA-5,53.34016005,-6.338152281,Private room,90,29,10,2024-01-29,0.52,1,137,2
42037,private room / 20 min to Centre (5km) & 30 airport,103100241,Ed,Dublin City Council,Ballyfermot-Drimnagh LEA-5,53.32865073,-6.333095031,Private room,101,1,2,2024-07-23,0.43,5,252,2
43280,Welcome to Camac Studio,7496064,Conor,Dublin City Council,Ballyfermot-Drimnagh LEA-5,53.3376216,-6.3229086,Entire home/apt,120,2,2,2024-09-01,2,1,84,2
44077,Modern 1 bedroom guest house with free parking,9871514,Mareesa And Evan,Dublin City Council,Ballyfermot-Drimnagh LEA-5,53.33843,-6.33038,Entire home/apt,134,1,174,2024-09-06,5.7,2,315,60
46062,Drimnagh  2 bed,102734317,Michael,Dublin City Council,Ballyfermot-Drimnagh LEA-5,53.33271,-6.3235,Entire home/apt,235,2,29,2024-08-27,0.75,10,259,1
46998,Nice apartment close luas line,525114817,Richard,Dublin City Council,Ballyfermot-Drimnagh LEA-5,53.33233,-6.34597,Entire home/apt,156,7,1,2024-08-25,1,1,178,1
100617,Lovely one bed apartment overlooking the Liffey.,66234163,Cathal,Dublin City Council,Ballyfermot-Drimnagh LEA-5,53.34606,-6.33873,Entire home/apt,120,3,4,2024-08-21,0.15,1,68,1
117022,"The ""Michael Collins"" apartment",790601,Timothy,Dublin City Council,Ballyfermot-Drimnagh LEA-5,53.33744,-6.32363,Entire home/apt,239,3,83,2024-06-13,0.54,4,187,4
150195,Comfy home near Dublin city,421781660,Paul,Dublin City Council,Ballyfermot-Drimnagh LEA-5,53.32700621,-6.322729027,Private room,75,1,1,2024-09-08,1,1,359,1
162809,Single room next to the phoenix,569292709,Tunahan,Dublin City Council,Ballyfermot-Drimnagh LEA-5,53.34246,-6.32992,Private room,105,1,1,2024-08-04,0.75,1,11,1
165828,Lovely 2 bed apartment in Temple Bar - City Centre,391805884,Dublin Dream,Dublin City Council,South East Inner City LEA-5,53.34488,-6.26468,Entire home/apt,271,3,171,2024-09-07,4.79,7,167,70
165829,Cozy & Central 2 bed,177833932,Anna,Dublin City Council,South East Inner City LEA-5,53.34526,-6.26611,Entire home/apt,300,4,6,2024-03-10,0.45,16,90,4
195824,Cosy 2 bedroom apt in Temple Bar - City Centre,391805884,Dublin Dream,Dublin City Council,South East Inner City LEA-5,53.3444,-6.26493,Entire home/apt,279,3,161,2024-08-26,4.54,7,181,66
201916,Drury Court Hotel- Super central Dublin hotel,256945665,Drury,Dublin City Council,South East Inner City LEA-5,53.34191,-6.26325,Private room,258,1,3,2023-04-04,0.08,8,328,0
202258,Drury Court Hotel- Super central Dublin hotel,256945665,Drury,Dublin City Council,South East Inner City LEA-5,53.34034,-6.26509,Private room,286,1,7,2024-08-17,0.23,8,331,1
214020,Temple Bar Duplex 3 Bed/2Bath Apt,234243,Johnny,Dublin City Council,South East Inner City LEA-5,53.3455,-6.26206,Private room,628,2,65,2024-08-10,0.98,38,246,12
225798,Lovely 1 BR Apt. with Canal View,456429109,Ece,Dublin City Council,South East Inner City LEA-5,53.3416,-6.23484,Entire home/apt,150,4,9,2024-07-07,0.65,1,103,5
226219,Apartment in Dublin 4,505329584,Leevin,Dublin City Council,South East Inner City LEA-5,53.3422377,-6.2361885,Entire home/apt,129,7,5,2024-08-28,0.4,11,108,4
242628,City Centre 2BdRoom Flat,396643490,Nekesa,Dublin City Council,South East Inner City LEA-5,53.34244,-6.23605,Entire home/apt,190,1,1,2024-07-26,0.63,1,113,1
247289,City Center Dublin 2,40101411,Douglas,Dublin City Council,South East Inner City LEA-5,53.34096,-6.26611,Private room,97,2,13,2024-08-30,0.12,2,34,12
248246,2BR charming Apt beside Merrion Sq,264430227,Mary,Dublin City Council,South East Inner City LEA-5,53.34055,-6.24578,Entire home/apt,132,14,77,2024-03-27,1.2,1,254,3
253448,Parkside Georgian 1 Bed,112062166,Gav And Trisha,Dublin City Council,South East Inner City LEA-5,53.33353708,-6.256079972,Entire home/apt,150,14,1,2024-07-01,0.41,37,88,1
253453,Luxury 2 Bed Apt near Trinity & Grafton Street.,92019084,Rachael,Dublin City Council,South East Inner City LEA-5,53.34491,-6.24771,Entire home/apt,165,20,46,2019-07-21,0.48,2,74,0
253455,Stunning city centre apt with balcony,430187374,Mark,Dublin City Council,South East Inner City LEA-5,53.33700986,-6.263847445,Entire home/apt,159,14,14,2024-08-22,0.83,16,55,13
265731,Stunning spacious corporate 2 bed in city centre,430187374,Mark,Dublin City Council,South East Inner City LEA-5,53.33751,-6.26467,Entire home/apt,274,14,25,2024-08-22,1.82,16,59,24
271292,Spacious  Apt in Heart of City Ctr,856312,Danielle,Dublin City Council,South East Inner City LEA-5,53.33508,-6.26883,Entire home/apt,147,2,256,2024-09-07,2.53,1,200,34
271298,Temple Bar Bridge House 3,69683252,Daniel And G,Dublin City Council,South East Inner City LEA-5,53.34564,-6.26209,Entire home/apt,207,4,130,2024-08-20,1.69,97,176,22
271307,Exclusive Georgian Townhouse,11500908,Meagan,Dublin City Council,South East Inner City LEA-5,53.34171,-6.25789,Entire home/apt,1071,2,24,2024-09-06,5.41,2,287,24
275265,Spacious 1 Bed Apt in the heart of the city centre,234243,Johnny,Dublin City Council,South East Inner City LEA-5,53.34533,-6.25725,Entire home/apt,275,4,5,2024-08-13,1.38,38,207,5
275281,Central 3 bedrooms Aung,177833932,Anna,Dublin City Council,South East Inner City LEA-5,53.34144232,-6.264454168,Entire home/apt,384,5,9,2024-07-01,0.79,16,265,9
275282,Luxury&Spacious& Elegant-Steps away from TempleBar,392329767,Musa,Dublin City Council,South East Inner City LEA-5,53.34469,-6.26552,Entire home/apt,261,1,7,2024-09-02,3.39,1,157,7
278453,Amazing City Centre Apartment,112062166,Gav And Trisha,Dublin City Council,South East Inner City LEA-5,53.34023,-6.26805,Entire home/apt,450,4,1,2024-06-30,0.4,37,269,1
292757,4 Bed 2 Bath City Centre,66948631,Luis & Gavin,Dublin City Council,South East Inner City LEA-5,53.34073,-6.26655,Entire home/apt,1000,3,2,2024-06-25,0.34,24,263,2
297172,Chic City Centre Condo 1 bedroom,66948631,Luis & Gavin,Dublin City Council,South East Inner City LEA-5,53.34228,-6.26477,Entire home/apt,210,4,39,2024-08-26,1.45,24,87,4
297784,Drury Court Hotel- super central Dublin hotel,256945665,Drury,Dublin City Council,South East Inner City LEA-5,53.34072,-6.26354,Private room,321,1,2,2020-02-18,0.03,8,332,0
302554,"Great City Centre Location, Standard Single Room",271780288,Dublin Citi Hotel,Dublin City Council,South East Inner City LEA-5,53.34487,-6.26454,Private room,203,1,40,2024-08-28,0.83,3,308,15
302634,Ensuite Twin Room,576638251,GuoQing,Dublin City Council,South East Inner City LEA-5,53.34377,-6.26222,Private room,137,1,23,2024-09-11,8.85,7,138,23
303458,Sonder at Britain Quay | Spacious 2BR w/ Balcony,264806441,Sonder (Dublin),Dublin City Council,South East Inner City LEA-5,53.34496,-6.23398,Entire home/apt,581,14,8,2024-08-11,0.14,8,297,2
337170,Cosy Double Room by Temple Bar,48885317,Lou,Dublin City Council,South East Inner City LEA-5,53.34413,-6.26931,Private room,150,2,19,2024-08-29,5.18,2,143,19
365854,Best located accommodation,594966837,Munkhbayasgalan,Dublin City Council,South East Inner City LEA-5,53.34300584,-6.270778413,Private room,80,1,4,2024-08-31,4,1,36,4
367423,"3 Bedroom Modern House in Ringsend, Dublin 4",29619359,John,Dublin City Council,South East Inner City LEA-5,53.34119,-6.23477,Entire home/apt,197,1,24,2024-08-27,1.45,7,3,13
368526,Luxury 3 bedroom apartment in Grand Canal Dock,119659890,Niels,Dublin City Council,South East Inner City LEA-5,53.34501,-6.23384,Entire home/apt,500,3,7,2024-05-08,0.83,1,10,7
374792,a unique property in Portobello,23633135,David,Dublin City Council,South East Inner City LEA-5,53.33070018,-6.275121532,Entire home/apt,116,1,68,2024-08-28,9.49,1,316,68
382831,Silicon Dock Triplex Suite,456776147,Renata,Dublin City Council,South East Inner City LEA-5,53.34106,-6.23343,Entire home/apt,275,14,2,2024-06-16,0.38,3,16,2
394851,Docklands 1 bed,3846772,Sag,Dublin City Council,South East Inner City LEA-5,53.34322,-6.23512,Entire home/apt,118,7,1,2023-12-25,0.11,24,8,1
410157,The Benson Two by Dublin At Home,162402361,Ian,Dublin City Council,South East Inner City LEA-5,53.34403,-6.23513,Entire home/apt,179,14,1,2024-08-15,1,68,307,1
412070,Docklands 1 bed,3846772,Sag,Dublin City Council,South East Inner City LEA-5,53.34169376,-6.234378166,Entire home/apt,119,7,3,2024-01-07,0.19,24,9,2
414684,Bright airy studio apartment,18801526,Carmel,Dublin City Council,South East Inner City LEA-5,53.3425,-6.23377,Entire home/apt,110,15,155,2024-08-24,1.5,2,43,2
419987,Modern house in Docklands - 20% discount per month,18152416,Fat Cat,Dublin City Council,South East Inner City LEA-5,53.34005,-6.23484,Entire home/apt,150,14,138,2024-08-31,1.3,2,266,7
421225,Spacious 1 Bedroom in Dublin City with nice view,485934870,Pat,Dublin City Council,South East Inner City LEA-5,53.34019,-6.23276,Entire home/apt,200,2,5,2023-09-11,0.23,1,50,0
422342,The Benson Two by Dublin At Home,162402361,Ian,Dublin City Council,South East Inner City LEA-5,53.34416,-6.23467,Entire home/apt,179,14,4,2024-05-09,0.69,68,295,4
424596,Stunning 1 bedroom in Merrion Square,551624167,Urban Stays,Dublin City Council,South East Inner City LEA-5,53.33753,-6.24593,Entire home/apt,191,3,1,2024-02-27,0.15,2,96,1
426326,Stunning 1 bedroom appartment in Grand Cannal,167567359,Nour,Dublin City Council,South East Inner City LEA-5,53.34005,-6.23446,Entire home/apt,200,5,22,2024-09-03,0.83,1,17,6
427077,Incredible Views of Grand Canal from all the Rooms,20921738,Gaurav,Dublin City Council,South East Inner City LEA-5,53.34282,-6.23573,Entire home/apt,186,14,7,2024-08-23,2.59,1,56,7
