Property_Name,Reviews_per_Month,Neighbourhood,Price,Room_Type
Triple Room in Abbey St,50.49,North Inner City LEA-7,161,Private room
Locke Studio at Zanzibar Locke,35.54,North Inner City LEA-7,383,Entire home/apt
Heart of downtown Double-bed Rm+Privacy Bathroom,28.9,North Inner City LEA-7,128,Private room
Charming Triple Room,26.56,South East Inner City LEA-5,162,Private room
Locke Studio at Beckett Locke,26.08,North Inner City LEA-7,314,Entire home/apt
City Studio at Beckett Locke,19.93,North Inner City LEA-7,283,Entire home/apt
Double Room in Abbey St,17.21,North Inner City LEA-7,147,Private room
River Fane Cottage Retreat - Hot Tub~Sauna~Plunge,17.03,Carrickmacross-Castleblayney LEA-6,285,Entire home/apt
Ireland’s #1 River Retreat Hot Tub~Sauna~Plunge,16.94,Carrickmacross-Castleblayney LEA-6,259,Entire home/apt
Charming Quadruple Room,16.88,South East Inner City LEA-5,179,Private room
Heart of downtown Triple-bed with Kitchen&Bathroom,16.73,North Inner City LEA-7,152,Private room
Wake to a new dawn in the den,15.54,Cashel-Tipperary LEA-7,83,Entire home/apt
Next stop Cliffs of Moher,15,Ennistimon LEA-4,115,Entire home/apt
2 Bedroom Suite at Beckett Locke,14.76,North Inner City LEA-7,460,Entire home/apt
Dublin Castle Suites — 1 Bed Suite,14.28,South East Inner City LEA-5,322,Entire home/apt
Guest Suite in Rosslare Harbour,13.67,Rosslare LEA-5,85,Private room
NEW Eyre Square En Suite Double with Many Extras,13.48,Galway City Central LEA-6,178,Private room
"Blue Haven, stop and rest in Doolin",13.33,Ennistimon LEA-4,87,Private room
The Granary,13.21,Wicklow LEA-6,120,Entire home/apt
*Sophie’s Galway Oasis*,13.04,Galway City East LEA-6,104,Private room
Independent Studio/Apartment,12.76,Wicklow LEA-6,91,Entire home/apt
1 double bed in Sligo Town,12.63,Sligo-Strandhill LEA-6,80,Private room
Pre & Post Flight Stop 5m-Airport 20m-DublinCity,12.25,Swords LEA-7,144,Entire home/apt
"""The Art House 2"" Galway, Woodquay",12.24,Galway City Central LEA-6,177,Entire home/apt
Stunning ocean front penthouse apartment,12.18,Ennistimon LEA-4,160,Entire home/apt
Forth Mountain Glamping,12.14,Rosslare LEA-5,156,Entire home/apt
Burren Glamping Luxury Dome,11.98,Ennistimon LEA-4,128,Entire home/apt
The Crowe's Nest,11.64,Ennistimon LEA-4,91,Entire home/apt
Ensuite Double Room in City Centre,11.61,North Inner City LEA-7,99,Private room
Kathleen's  - Gateway to beautiful Connemara,11.57,Galway City West LEA-6,156,Entire home/apt
"""The Art House 8"" Galway",11.45,Galway City Central LEA-6,187,Entire home/apt
ThornCastle - Small Double Ensuite Room,11.4,South East Inner City LEA-5,75,Private room
Travelers’ Barn at Corra Woods,11.25,Killaloe LEA-5,150,Entire home/apt
Yellow Furze,11.23,Ennistimon LEA-4,95,Private room
Riverside Retreat,11.2,Ballybay-Clones LEA-5,280,Entire home/apt
Ensuite double bedroom - near to the airport,11.2,Swords LEA-7,81,Private room
Ground Floor Double En Suite,11.16,South East Inner City LEA-5,87,Private room
Studio apartment.,11.15,Cashel-Tipperary LEA-7,130,Entire home/apt
Hawthorn Mews - Contemporary Studio Getaway,11.13,Cashel-Tipperary LEA-7,98,Entire home/apt
"The Abby Suite 
Luxury at Heart",11.11,Galway City Central LEA-6,99,Private room
"Luxury Coastal Room: Mountain Views, Near Airport",11,Howth-Malahide LEA-7,88,Private room
Close to airport! Ensuit double bedroom,10.98,Howth-Malahide LEA-7,92,Private room
Nicole & Ben Guesthouse,10.91,Blanchardstown-Mulhuddart LEA-5,107,Entire home/apt
"New studio near Lahinch, Doolin & Cliffs of Moher",10.89,Ennistimon LEA-4,99,Entire home/apt
Adult only Retreat with Outdoor Hot Tub,10.86,Birr LEA-6,111,Entire home/apt
Charming 15th Century Castle,10.77,Cashel-Tipperary LEA-7,585,Entire home/apt
1km from Cliffs of Moher room detached bathroom,10.73,Ennistimon LEA-4,79,Private room
"Amazing views, The Granary",10.71,Arklow LEA-6,83,Entire home/apt
Castleville,10.71,Killaloe LEA-5,120,Entire home/apt
Ensuite family room near Dublin,10.68,Palmerstown-Fonthill LEA-5,114,Private room
Marta’s Studio,10.68,Ennistimon LEA-4,120,Entire home/apt
Fully Renovated 2bed on2nd floor,10.63,North Inner City LEA-7,180,Entire home/apt
An Teach Scoile,10.63,Galway City Central LEA-6,90,Private room
Cabin among the Wicklow Hills.,10.59,Baltinglass LEA-6,100,Entire home/apt
Luxurious guest house,10.49,Blanchardstown-Mulhuddart LEA-5,107,Entire home/apt
"""The Art House 7"" Galway",10.48,Galway City Central LEA-6,205,Entire home/apt
Your Dublin Basecamp!,10.46,South West Inner City LEA-5,134,Entire home/apt
Double room with King bed in Galway City Centre,10.44,Galway City Central LEA-6,153,Private room
Unique IgluPod  near Sligo,10.4,Ballymote-Tobercurry LEA-7,113,Entire home/apt
City Centre Masonette Apartment,10.26,North Inner City LEA-7,109,Entire home/apt
Cosy King in Central Dublin,10.23,South East Inner City LEA-5,321,Private room
‘The Garage’ Lahinch,10.23,Ennistimon LEA-4,88,Entire home/apt
Compact-room-ideal-location,10.16,Galway City East LEA-6,102,Private room
2 Bed Apartment Avoca Village,10.11,Arklow LEA-6,91,Entire home/apt
City Studio at Zanzibar Locke,10.09,North Inner City LEA-7,330,Entire home/apt
1 The West Townhouse Premier Loclation,10.06,Galway City Central LEA-6,113,Private room
Lovely Farmhouse in central Wexford,10.05,New Ross LEA-6,123,Entire home/apt
Cozy city centre place,10,North Inner City LEA-7,101,Private room
Elegant Urban Living,10,North Inner City LEA-7,92,Private room
Croke Park Studio Flat.,10,North Inner City LEA-7,100,Entire home/apt
Fully Renovated 2bed on 3rdfloor,10,Cabra-Glasnevin LEA-7,180,Entire home/apt
Castle View (UCC),10,Cork City South Central LEA-6,126,Entire home/apt
Peaceful & Private country home,10,Kilmuckridge LEA-4,230,Entire home/apt
Bens Little Cabin,9.98,Sligo-Drumcliff LEA-5,95,Entire home/apt
Studio flat,9.88,Swords LEA-7,109,Entire home/apt
"“ The Art House 3” Galway, Woodquay",9.86,Galway City Central LEA-6,184,Entire home/apt
Double  room with own bathroom,9.8,Ballymun-Finglas LEA-6,90,Private room
The Burren Snug,9.8,Ennistimon LEA-4,133,Entire home/apt
Fully Renovated 2bed on1st floor,9.72,North Inner City LEA-7,180,Entire home/apt
The Kingfisher. double and single (Sleeps 3)No.2,9.68,North Inner City LEA-7,143,Private room
Brand New Studio ground floor Northside of Dublin,9.64,North Inner City LEA-7,90,Entire home/apt
Family Room for 3 people (Abbey),9.62,North Inner City LEA-7,169,Private room
Lovely Northside Studio 2rd flr wifi+netflix,9.58,North Inner City LEA-7,101,Entire home/apt
Spacious Ensuite Room near city,9.57,Galway City Central LEA-6,105,Private room
"Newly refurbished, spacious Apt",9.56,Donaghmede LEA-5,200,Entire home/apt
a unique property in Portobello,9.49,South East Inner City LEA-5,116,Entire home/apt
Cliffs of Moher Glamping Pod,9.49,Ennistimon LEA-4,116,Entire home/apt
? Galway's Westend 1 Bed Apartment ?,9.48,Galway City Central LEA-6,136,Entire home/apt
Quiet Retreat,9.47,Rosslare LEA-5,131,Entire home/apt
Cozy rooms near airport dublin (Green Room),9.44,Swords LEA-7,75,Private room
"Restful Double Room - Doll's Cottage, Doolin",9.44,Ennistimon LEA-4,88,Private room
Cosy Space at St Stephens Green,9.43,South East Inner City LEA-5,90,Entire home/apt
Teach Beag - cois farraige,9.43,Wicklow LEA-6,99,Entire home/apt
Stand Alone Studio with its own side entrance,9.43,Howth-Malahide LEA-7,99,Entire home/apt
Convenient Cozy Room near City Center,9.41,Galway City East LEA-6,75,Private room
"Zac’s Alley (Apartment A)
is Awesome!",9.4,Galway City Central LEA-6,150,Entire home/apt
Northside 1bed apt 2rd floor WIif+Kitchen+Netflix,9.39,North Inner City LEA-7,140,Entire home/apt
Twin room in Galway city centre,9.39,Galway City Central LEA-6,115,Private room
3 bedroom flat,9.39,Carndonagh LEA-4,79,Entire home/apt
"Sea View, 2 bedroom 15 mins walk from beach,.",9.36,New Ross LEA-6,135,Entire home/apt
Northside 2bed apt 1st flr +Kitchen+Wifi+Netflix,9.34,North Inner City LEA-7,207,Entire home/apt
Brand New 1bed apt 1st floor Northside of Dublin,9.32,North Inner City LEA-7,103,Entire home/apt
Cozy Entire Apartment Dublin City Centre,9.31,North Inner City LEA-7,208,Entire home/apt
"Stylish CITY Centre Townhouse, Sleeps 12",9.31,Galway City Central LEA-6,355,Entire home/apt
Private Bedroom & Bathroom in Latin Quarter,9.23,Galway City Central LEA-6,141,Private room
Gatelodge Woodenbridge,9.19,Arklow LEA-6,159,Entire home/apt
2 double bedroom Flat in Galway City Centre,9.14,Galway City Central LEA-6,204,Entire home/apt
Private room in City Center/ near Temple Bar,9.13,South West Inner City LEA-5,82,Private room
Luxury City Center Studio Apartment - Spanish Arch,9.06,Galway City Central LEA-6,149,Entire home/apt
Cosy Cottage in rural location,9.04,New Ross LEA-6,85,Entire home/apt
"New house - private bathroom, close to city center",9,Cabra-Glasnevin LEA-7,90,Private room
Step back in time in Dublin 9,9,Cabra-Glasnevin LEA-7,139,Entire home/apt
Private Twin Room 10 minutes from the airport,9,Swords LEA-7,80,Private room
River View Townhouse - Spanish Arch - City Center,8.98,Galway City Central LEA-6,399,Entire home/apt
Home away from home,8.95,Swords LEA-7,129,Private room
The City Centre Tiny House,8.93,Cabra-Glasnevin LEA-7,107,Entire home/apt
Heart downtown 1DB-bed+1Singlebed+Kitchen+Bathrm,8.92,North Inner City LEA-7,145,Private room
Luxury Home Great Location,8.91,Galway City West LEA-6,102,Private room
Rustic Irish Glamping Cottage,8.89,Killaloe LEA-5,77,Entire home/apt
The Heart Of The City @ Spanish Arch Best Location,8.87,Galway City Central LEA-6,187,Entire home/apt
Ensuite Twin Room,8.85,South East Inner City LEA-5,137,Private room
*Bright and cozy apartment on Grand Canal Greenway,8.84,Edenderry LEA-6,99,Entire home/apt
Swallows Rest,8.82,Baltinglass LEA-6,135,Entire home/apt
Rooftop Studio Dublin,8.81,North Inner City LEA-7,147,Private room
Locke Studio Twin at Zanzibar Locke,8.8,North Inner City LEA-7,384,Entire home/apt
Carlton Cabin - 7mins to Airport and Ryanair HQ,8.78,Swords LEA-7,100,Entire home/apt
Quiet and cosy double room,8.75,Clontarf LEA-6,81,Private room
Tullybeg House,8.75,Sligo-Drumcliff LEA-5,105,Entire home/apt
En-suite bedroom in Dublin,8.73,North Inner City LEA-7,94,Private room
Northside Grnd Flr Studio + Loft Bed + Wifi,8.69,Cabra-Glasnevin LEA-7,120,Entire home/apt
