Host_Name,Listings_Count,Total_Reviews_Per_Month
Mary,1,175.0700003
Diogo,25,144.1300001
GuoQing,7,129.6099997
Martin,19,104.3700008
John,1,103.5700004
Edyta,13,98.1699996
Daniel And G,97,95.76000039
Malcolm,41,94.61000028
Liam,17,92.51000023
Lucas,60,91.22999984
Paul,1,87.55
James,1,85.70000079
Michelle,29,82.48000073
Gregory Joseph,23,77.91999936
John,2,77.81999942
David,1,77.48999934
Sinead,1,73.63999964
Michelle,1,72.21999976
Gillian,12,70.16000032
Deni,9,69.78999877
The Rest,10,68.62000036
Beckett,6,66.17000055
Helen,1,58.60000046
Margaret,1,58.55000004
Zanzibar Locke,7,58.00000137
Steven,53,57.6800002
Karen,1,57.49999987
Joe,6,56.23999953
Louise,1,56.0599995
Michael,1,56.04000013
Marie,1,54.60999992
Le,3,54.54999924
Fiona,1,53.57000002
Peter,1,52.36000006
Deirdre,1,51.87999979
Sarah,1,51.30000022
Siobhan,1,50.8100006
Niamh,13,50.46999943
Patrick,1,50.35000031
Catherine,1,49.57999924
Alex,2,49.25999975
Kevin,1,48.00999998
Mary,3,47.84999979
Mark,1,46.35999972
Anne,1,46.1999995
Liam,1,44.96999982
Diarmuid,13,44.07999992
Seán,1,43.33999957
Paul,82,42.8399999
Joan,1,42.80000059
Mary,2,40.78000026
Conor,1,39.44999973
Ann,1,39.37000008
Breda,1,38.74999975
Patricia,1,38.43000004
Joe,1,38.06000078
Niall,8,37.52000022
Laura,1,36.67000024
Alan,1,36.15999968
Chandler,6,35.94000006
Brian,1,35.89000006
Sean,3,35.57999921
Sadia & Dee,5,35.56999969
Duanying,9,35.29999995
Margaret,2,34.95999976
Pat,1,34.53000005
Niall,2,34.42000121
Stephen,1,34.21000029
Aoife,1,33.88999999
Barry,1,33.61000055
Paul,4,33.38000071
Teresa,1,33.16000056
Maria,1,32.71999975
Aisling,1,32.28000006
Dublin Dream,7,32.1699996
Claire,1,31.96000034
Lisa,1,31.96000019
Johnny,38,31.70000008
Noel,3,31.10999948
Rachel,2,30.57999992
Michael,5,30.3199996
Tug Accommodation,10,30.11999989
Thomas,1,30.07000031
Joseph,1,29.95999992
Kathleen,1,29.92999991
Angela,1,29.32999977
James,23,29.28999996
Richard,1,29.10000022
Niall,1,29.02000019
Roisin,1,29.00000051
Sharon,1,28.95999973
Sandra,1,28.73999977
Andrew,1,28.62999988
Geraldine,1,28.54000011
John,3,28.50999938
Brian,2,28.44000067
Adam,1,28.39999974
Christopher,1,28.32999986
Simon,1,27.69000024
Carmel,1,27.65999983
Padraig,1,27.39999995
Anna,1,27.32999991
Linda,1,27.20999981
Elaine,1,27.15999967
Dublin Castle Suites,5,27.13999981
Mairead,1,27.07999983
Michael,3,27.01999998
James,2,26.90999967
Ciara,1,26.72999963
Daniele,4,26.69999981
Alison,1,26.6699999
Paddy,5,26.53000069
Eoin,1,26.42999992
Catherine,3,26.40000007
Denise,2,26.22999981
Robert,1,25.94999966
Eileen,1,25.93999994
Dermot And Monica,8,25.92999998
Kieran,1,25.85000019
Leanne,7,25.65000021
Amy,2,25.56999969
Aidan,2,25.41000012
David,2,25.24000022
Francis,3,25.19999981
Keith,1,25.19000055
Paula,1,25.07000001
Aoibheann,11,24.89999986
Martina,1,24.82000013
Anne,2,24.81000048
Brendan,1,24.79999991
Jim,2,24.79999956
Lihong,5,24.69000006
Peter,2,24.54000002
Emma,1,24.49000031
Aine,1,24.40000013
Lorraine,1,24.34000041
Rebecca,1,24.27000019
Rachel,1,24.1900004
Veasna,9,24.17999983
Michael,2,24.08000046
Ronan,4,24.00000024
Declan,1,23.86000013
Paul,5,23.66999996
Martin,1,23.54999995
Hiphipstay,5,23.47999978
Seamus,1,23.24000025
Woodquay,3,23.23000002
Micheál,18,23.19999979
Paul,2,23.19000036
Ciarán,1,23.10000002
R Gar And G,58,23.08999998
Liz,1,23.03999978
Simon,7,22.61999989
Ruth,2,22.5400002
Rory,1,22.44999978
Denise,1,22.12999994
Irene,1,22.07999974
Tom,1,22.06999967
David,5,21.99999952
